CVE_ID,Descripcion,CVSS_Score,Vector_Ataque,Severidad,CWE,Software,Fecha_Publicacion,Fecha_Ultima_Modificacion,Dias_Desde_Publicacion
CVE-1999-1090,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",7.5,NETWORK,Alta,Sin clasificar,Ncsa Telnet,1991-09-10,2026-06-16,12699
CVE-1999-0498,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.",10,NETWORK,Crítica,Sin clasificar,Desconocido,1991-09-27,2026-06-16,12682
CVE-1999-1468,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",6.2,LOCAL,Media,Sin clasificar,Next Next,1991-10-22,2026-06-16,12657
CVE-1999-0167,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",4.6,LOCAL,Media,Sin clasificar,Sun Sunos,1991-12-06,2026-06-16,12612
CVE-1999-1493,"Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().",10,NETWORK,Crítica,Sin clasificar,Hp Apollo domain os,1991-12-18,2026-06-16,12600
CVE-1999-1032,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.,10,NETWORK,Crítica,Sin clasificar,Digital Ultrix,1991-12-31,2026-06-16,12587
CVE-1999-1059,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.,10,NETWORK,Crítica,Sin clasificar,Att Svr4,1992-02-25,2026-06-16,12531
CVE-1999-0627,"The rexd service is running, which uses weak authentication that can allow an attacker to execute commands.",0,NETWORK,Baja,Sin clasificar,Ibm Aix,1992-03-01,2026-06-16,12526
CVE-1999-1121,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.,7.2,LOCAL,Alta,Sin clasificar,Ibm Aix,1992-03-19,2026-06-16,12508
CVE-1999-0117,AIX passwd allows local users to gain root access.,7.2,LOCAL,Alta,Sin clasificar,Ibm Aix,1992-03-31,2026-06-16,12496
CVE-1999-1119,"FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands.",10,NETWORK,Crítica,Sin clasificar,Ibm Aix,1992-04-27,2026-06-16,12469
CVE-1999-1142,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1992-05-27,2026-06-16,12439
CVE-1999-0168,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export rest",7.5,NETWORK,Alta,Sin clasificar,Sun Sunos,1992-06-04,2026-06-16,12431
CVE-1999-0214,Denial of service by sending forged ICMP unreachable packets.,10,NETWORK,Crítica,Sin clasificar,Sun Sunos,1992-07-21,2026-06-16,12384
CVE-1999-1396,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1992-07-21,2026-06-16,12384
CVE-1999-1395,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.,7.2,LOCAL,Alta,Sin clasificar,Dec Dec openvms,1992-11-17,2026-06-16,12265
CVE-1999-1306,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",7.5,NETWORK,Alta,Sin clasificar,Cisco Ios,1992-12-10,2026-06-16,12242
CVE-1999-1466,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",7.5,NETWORK,Alta,Sin clasificar,Cisco Ios,1992-12-10,2026-06-16,12242
CVE-1999-1021,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1992-12-30,2026-06-16,12222
CVE-1999-0312,HP ypbind allows attackers with root privileges to modify NIS data.,5,NETWORK,Media,Sin clasificar,Hp Hp-ux,1993-01-13,2026-06-16,12208
CVE-1999-1507,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1993-02-03,2026-06-16,12187
CVE-1999-1218,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,2.1,LOCAL,Baja,Sin clasificar,Commodore Amiga unix,1993-02-18,2026-06-16,12172
CVE-1999-1312,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",7.2,LOCAL,Alta,Sin clasificar,Dec Dec openvms axp,1993-02-24,2026-06-16,12166
CVE-1999-1216,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",7.5,NETWORK,Alta,Sin clasificar,Cisco Router,1993-04-22,2026-06-16,12109
CVE-1999-1162,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,6.4,NETWORK,Media,Sin clasificar,Sco Open desktop,1993-05-24,2026-06-16,12077
CVE-1999-0124,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,10,NETWORK,Crítica,Sin clasificar,University of minnesota Gopherd,1993-08-09,2026-06-16,12000
CVE-1999-1215,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",4.6,LOCAL,Media,Sin clasificar,Novell Netware,1993-09-16,2026-06-16,11962
CVE-1999-1138,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",10,NETWORK,Crítica,Sin clasificar,Sco Open desktop,1993-09-17,2026-06-16,11961
CVE-1999-1318,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1993-09-17,2026-06-16,11961
CVE-1999-0145,"Sendmail WIZ command enabled, allowing root access.",7.2,LOCAL,Alta,Sin clasificar,Eric allman Sendmail,1993-09-30,2026-06-16,11948
CVE-1999-1137,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",2.1,LOCAL,Baja,Sin clasificar,Sun Solaris,1993-10-01,2026-06-16,11947
CVE-1999-0334,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",7.2,LOCAL,Alta,Sin clasificar,Sun Solaris,1993-12-16,2026-06-16,11871
CVE-1999-0181,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",6.8,NETWORK,Media,Sin clasificar,Rpc.walld Rpc.walld,1994-01-01,2026-06-16,11855
CVE-1999-1242,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,4.6,LOCAL,Media,Sin clasificar,Hp Hp-ux,1994-02-07,2026-06-16,11818
CVE-1999-0211,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,5,NETWORK,Media,Sin clasificar,Sun Sunos,1994-02-14,2026-06-16,11811
CVE-1999-0338,AIX Licensed Program Product performance tools allow local users to gain root access.,7.2,LOCAL,Alta,Sin clasificar,Ibm Aix,1994-02-24,2026-06-16,11801
CVE-1999-0120,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1994-03-21,2026-06-16,11776
CVE-1999-1135,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",7.2,LOCAL,Alta,Sin clasificar,Hp Hp-ux,1994-04-20,2026-06-16,11746
CVE-1999-1146,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,7.2,LOCAL,Alta,Sin clasificar,Hp Hp-ux,1994-05-04,2026-06-16,11732
CVE-1999-1388,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,6.2,LOCAL,Media,Sin clasificar,Sun Sunos,1994-05-13,2026-06-16,11723
CVE-1999-1134,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",7.2,LOCAL,Alta,Sin clasificar,Hp Hp-ux,1994-05-18,2026-06-16,11718
CVE-1999-0113,Some implementations of rlogin allow root access if given a -froot parameter.,10,NETWORK,Crítica,CWE-88,Ibm Aix,1994-05-23,2026-06-16,11713
CVE-1999-0423,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,4.6,LOCAL,Media,Sin clasificar,Hp Hp-ux,1994-06-01,2026-06-16,11704
CVE-1999-0337,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,7.5,NETWORK,Alta,Sin clasificar,Ibm Aix,1994-06-03,2026-06-16,11702
CVE-1999-0207,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",7.5,NETWORK,Alta,Sin clasificar,Great circle associates Majordomo,1994-06-09,2026-06-16,11696
CVE-1999-1239,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",4.6,LOCAL,Media,Sin clasificar,Hp Hp-ux,1994-07-13,2026-06-16,11662
CVE-1999-1552,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",7.2,LOCAL,Alta,Sin clasificar,Ibm Aix,1994-07-20,2026-06-16,11655
CVE-1999-1494,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",2.1,LOCAL,Baja,Sin clasificar,Sgi Irix,1994-08-09,2026-06-16,11635
CVE-1999-1219,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",7.2,LOCAL,Alta,Sin clasificar,Sgi Irix,1994-08-11,2026-06-16,11633
CVE-1999-1238,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,4.6,LOCAL,Media,Sin clasificar,Hp Hp-ux,1994-09-21,2026-06-16,11592
CVE-1999-1022,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",6.2,LOCAL,Media,Sin clasificar,Sgi Irix,1994-10-02,2026-06-16,11581
CVE-1999-1248,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,4.6,LOCAL,Media,Sin clasificar,Hp Hp-ux,1994-11-30,2026-06-16,11522
CVE-1999-1302,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2,LOCAL,Alta,Sin clasificar,Sco Open desktop,1994-11-30,2026-06-16,11522
CVE-1999-1303,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2,LOCAL,Alta,Sin clasificar,Sco Open desktop,1994-11-30,2026-06-16,11522
CVE-1999-1304,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2,LOCAL,Alta,Sin clasificar,Sco Open desktop,1994-11-30,2026-06-16,11522
CVE-1999-1305,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",7.2,LOCAL,Alta,Sin clasificar,Sco Open desktop,1994-11-30,2026-06-16,11522
CVE-2000-0508,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,5,NETWORK,Media,Sin clasificar,Debian Debian linux,1994-12-19,2026-06-16,11503
CVE-1999-0077,Predictable TCP sequence numbers allow spoofing.,5,NETWORK,Media,Sin clasificar,Microsoft Windows nt,1995-01-01,2026-06-16,11490
CVE-1999-0232,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,10,NETWORK,Crítica,Sin clasificar,Ncsa httpd project Ncsa httpd,1995-02-01,2026-06-16,11459
CVE-1999-0235,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,10,NETWORK,Crítica,Sin clasificar,Ncsa Ncsa web server,1995-02-17,2026-06-16,11443
CVE-1999-0242,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,7.5,NETWORK,Alta,Sin clasificar,Slackware Slackware linux,1995-03-01,2026-06-16,11431
CVE-1999-1098,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,5,NETWORK,Media,Sin clasificar,Bsd Bsd,1995-03-03,2026-06-16,11429
CVE-1999-1243,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,4.6,LOCAL,Media,Sin clasificar,Sgi Irix,1995-03-03,2026-06-16,11429
CVE-1999-0151,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",7.6,NETWORK,Alta,Sin clasificar,Satan Satan,1995-04-03,2026-06-16,11398
CVE-1999-1080,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volch",7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1995-05-10,2026-06-16,11361
CVE-1999-0066,AnyForm CGI remote execution.,9.8,NETWORK,Crítica,Sin clasificar,John s. roberts Anyform,1995-07-31,2026-06-16,11279
CVE-1999-0161,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",7.5,NETWORK,Alta,Sin clasificar,Cisco Ios,1995-07-31,2026-06-16,11279
CVE-1999-0172,FormMail CGI program allows remote execution of commands.,7.5,NETWORK,Alta,Sin clasificar,Matt wright Formmail,1995-08-02,2026-06-16,11277
CVE-1999-0203,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",10,NETWORK,Crítica,Sin clasificar,Eric allman Sendmail,1995-08-17,2026-06-16,11262
CVE-1999-1580,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",7.2,LOCAL,Alta,Sin clasificar,Sendmail Sendmail,1995-08-23,2026-06-16,11256
CVE-1999-0164,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,6.2,LOCAL,Media,Sin clasificar,Sun Sunos,1995-08-29,2026-06-16,11250
CVE-1999-0155,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,7.5,NETWORK,Alta,Sin clasificar,Aladdin enterprises Ghostscript,1995-08-31,2026-06-16,11248
CVE-1999-0245,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".",4.6,LOCAL,Media,Sin clasificar,Linux Linux kernel,1995-09-07,2026-06-16,11241
CVE-1999-0218,Livingston portmaster machines could be rebooted via a series of commands.,5,NETWORK,Media,Sin clasificar,Livingston portmaster Portmaster,1995-10-01,2026-06-16,11217
CVE-1999-0073,"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access.",10,NETWORK,Crítica,Sin clasificar,Sgi Irix,1995-10-13,2026-06-16,11205
CVE-1999-0099,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,10,NETWORK,Crítica,Sin clasificar,Bsdi Bsd os,1995-10-19,2026-06-16,11199
CVE-1999-0241,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",10,NETWORK,Crítica,Sin clasificar,Xfree86 project X11r6,1995-11-01,2026-06-16,11186
CVE-1999-0080,"Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.",10,NETWORK,Crítica,Sin clasificar,Washington university Wu-ftpd,1995-11-30,2026-06-16,11157
CVE-1999-0123,Race condition in Linux mailx command allows local users to read user files.,3.7,LOCAL,Baja,Sin clasificar,Slackware Slackware linux,1995-12-01,2026-06-16,11156
CVE-1999-0316,Buffer overflow in Linux splitvt command gives root access to local users.,7.2,LOCAL,Alta,Sin clasificar,Sam lantinga Splitvt,1995-12-01,2026-06-16,11156
CVE-1999-0325,vhe_u_mnt program in HP-UX allows local users to create root files through symlinks.,7.2,LOCAL,Alta,Sin clasificar,Hp Hp-ux,1995-12-01,2026-06-16,11156
CVE-1999-0208,rpc.ypupdated (NIS) allows remote users to execute arbitrary commands.,10,NETWORK,Crítica,Sin clasificar,Sgi Irix,1995-12-12,2026-06-16,11145
CVE-1999-1186,"rxvt, when compiled with the PRINT_PIPE option in various Linux operating systems including Linux Slackware 3.0 and RedHat 2.1, allows local users to gain root privileges by specifying a malicious program using the -print-pipe command line parameter.",7.2,LOCAL,Alta,Sin clasificar,Rxvt Rxvt,1996-01-02,2026-06-16,11124
CVE-1999-1319,Vulnerability in object server program in SGI IRIX 5.2 through 6.1 allows remote attackers to gain root privileges in certain configurations.,10,NETWORK,Crítica,Sin clasificar,Sgi Irix,1996-01-03,2026-06-16,11123
CVE-1999-1491,"abuse.console in Red Hat 2.1 uses relative pathnames to find and execute the undrv program, which allows local users to execute arbitrary commands via a path that points to a Trojan horse program.",7.2,LOCAL,Alta,Sin clasificar,Redhat Linux,1996-02-02,2026-06-16,11093
CVE-1999-0103,"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",5,NETWORK,Media,Sin clasificar,Desconocido,1996-02-08,2026-06-16,11087
CVE-1999-0143,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,4.6,LOCAL,Media,Sin clasificar,Mit Kerberos,1996-02-21,2026-06-16,11074
CVE-1999-0233,IIS 1.0 allows users to execute arbitrary commands using .bat or .cmd files.,10,NETWORK,Crítica,Sin clasificar,Microsoft Internet information services,1996-02-25,2026-06-16,11070
CVE-1999-0142,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,7.5,NETWORK,Alta,Sin clasificar,Netscape Navigator,1996-03-01,2026-06-16,11065
CVE-1999-0067,phf CGI program allows remote command execution through shell metacharacters.,10,NETWORK,Crítica,CWE-78,Apache Http server,1996-03-20,2026-06-16,11046
CVE-1999-0141,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.,3.7,LOCAL,Baja,Sin clasificar,Netscape Navigator,1996-03-29,2026-06-16,11037
CVE-1999-0070,test-cgi program allows an attacker to list files on the server.,5,NETWORK,Media,Sin clasificar,Apache Http server,1996-04-01,2026-06-16,11034
CVE-1999-1103,dxconsole in DEC OSF/1 3.2C and earlier allows local users to read arbitrary files by specifying the file with the -file parameter.,4.6,LOCAL,Media,Sin clasificar,Digital Osf 1,1996-04-03,2026-06-16,11032
CVE-1999-0078,"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call.",1.9,LOCAL,Baja,Sin clasificar,Ncr Mp-ras,1996-04-18,2026-06-16,11017
CVE-1999-0019,"Delete or create a file via rpc.statd, due to invalid information.",5,NETWORK,Media,Sin clasificar,Data general Dg ux,1996-04-24,2026-06-16,11011
CVE-1999-1314,"Vulnerability in union file system in FreeBSD 2.2 and earlier, and possibly other operating systems, allows local users to cause a denial of service (system reload) via a series of certain mount_union commands.",2.1,LOCAL,Baja,Sin clasificar,Freebsd Freebsd,1996-05-17,2026-06-16,10988
CVE-1999-1313,Manual page reader (man) in FreeBSD 2.2 and earlier allows local users to gain privileges via a sequence of commands.,4.6,LOCAL,Media,Sin clasificar,Freebsd Freebsd,1996-05-23,2026-06-16,10982
CVE-1999-0522,The permissions for a system-critical NIS+ table (e.g. passwd) are inappropriate.,7.2,LOCAL,Alta,Sin clasificar,Desconocido,1996-05-28,2026-06-16,10977
CVE-1999-0509,"Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.",10,NETWORK,Crítica,CWE-94,Desconocido,1996-05-29,2026-06-16,10976
CVE-1999-1205,"nettune in HP-UX 10.01 and 10.00 is installed setuid root, which allows local users to cause a denial of service by modifying critical networking configuration information.",2.1,LOCAL,Baja,Sin clasificar,Hp Hp-ux,1996-06-07,2026-06-16,10967
CVE-1999-1253,"Vulnerability in a kernel error handling routine in SCO OpenServer 5.0.2 and earlier, and SCO Internet FastStart 1.0, allows local users to gain root privileges.",7.2,LOCAL,Alta,Sin clasificar,Sco Internet faststart,1996-06-07,2026-06-16,10967
CVE-1999-0138,"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",7.2,LOCAL,Alta,Sin clasificar,Apple A ux,1996-06-26,2026-06-16,10948
CVE-1999-0175,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,5,NETWORK,Media,Sin clasificar,Novell Web server,1996-07-01,2026-06-16,10943
CVE-1999-0022,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",7.8,LOCAL,Alta,CWE-125,Sgi Irix,1996-07-03,2026-06-16,10941
CVE-1999-0137,The dip program on many Linux systems allows local users to gain root access via a buffer overflow.,7.2,LOCAL,Alta,Sin clasificar,Fred n. van kempen Dip,1996-07-09,2026-06-16,10935
